smiles,target_name,pActivity,activity_nM,target_chembl_id
CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,EGFR,5.1938200260161125,6400.0,CHEMBL203
CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl.Cl,EGFR,5.1938200260161125,6400.0,CHEMBL203
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,CYP3A4,5.522878745280337,3000.0,CHEMBL340
CCCCOc1cc2c(Nc3ccc(NC(=O)OCC)c(Cl)c3)ncnc2cc1OCCN(CC)CC,EGFR,5.0385789059335515,9150.0,CHEMBL203
CCCCOc1cc2c(Nc3ccc(NC(=O)OCC)c(Cl)c3)ncnc2cc1OCCN(CC)CC.Cl,EGFR,5.008773924307505,9800.0,CHEMBL203
CCCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCC,EGFR,6.978810700930062,105.0,CHEMBL203
CCCCOc1ccc(S(=O)(=O)NCCc2c[nH]c3ccccc23)cc1,KCNH2,5.497572880015568,3180.0,CHEMBL240
CCCCOc1cccc(C(F)(F)CNCC(=O)N(CC)CC)c1,CYP2D6,4.468521082957745,34000.0,CHEMBL289
CCCCOc1cccc(C(F)(F)CNCC(=O)N(CCC)CCC)c1,CYP2D6,4.621602099051862,23900.0,CHEMBL289
CCCCOc1cccc(C(F)(F)CNCC(=O)N2CCCCC2)c1,CYP2D6,4.416801226031377,38300.0,CHEMBL289
CCCCOc1cccc(CCN(CCCOC)CC(=O)N(C)C)c1,CYP2D6,5.136677139879544,7300.0,CHEMBL289
CCCCOc1cccc(CCN(CCOC)CC(=O)N(C)C)c1,CYP2D6,5.468521082957745,3400.0,CHEMBL289
CCCCOc1cccc(CCNC(C)C(=O)N(C)C)c1,CYP2D6,5.236572006437063,5800.0,CHEMBL289
CCCCOc1cccc(CCNCC(=O)N(C)C)c1,CYP2D6,5.236572006437063,5800.0,CHEMBL289
CCCCOc1cccc(CCNCC(=O)N(CC)CC)c1,CYP2D6,5.6020599913279625,2500.0,CHEMBL289
